BAIRRO,LATITUDE,LONGITUDE,TIPO DE CRIME,QUANTIDADE
Centro,-22.56551184330801,-47.4033402863699,homicídio,1
São José,-22.545369208149168,-47.404418170758404,homicídio,1
Cavinato,-22.572976560372396,-47.38950592415155,assalto,1
Cavinato,-22.572976560372396,-47.38950592415155,assalto,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,droga,1
Vila Rocha,-22.577729119721457,-47.41057553494436,assalto,1
Vila Fascina,-22.556571020456573,-47.40392364748294,assalto,1
Nossa Senhora de Fátima,-22.565829937713396,-47.426601278042675,roubam,1
Orestes Veroni,-22.570195705401918,-47.38841366524267,furta,1
Vila Cláudia,-22.578698767560233,-47.40145291903339,furta,1
João Ometto,-22.574505800000008,-47.36762253644538,agrediu,1
Nova Europa,-22.581548545686633,-47.41525510582406,roubo,1
Nova,-22.558083990929543,-47.36966581985347,roubo,1
São Lourenço,-22.613343539873107,-47.421758514470056,roubo,1
Santa Cecília,-22.566554171695916, -47.41504969118918,furto,1
Sthalberg,-22.571690236441377,-47.42084851785735,furta,1
Roseira,-22.59428106964835,-47.42133194573715,droga,1
Centro,-22.56551184330801,-47.4033402863699,furta,1
Colina Verde,-22.582947261189126,-47.43436670915959,agredido,1
Centro,-22.56551184330801,-47.4033402863699,furta,1
Centro,-22.56551184330801,-47.4033402863699,furta,1
Recanto dos Pássaros,-22.615350788247124,-47.41574726813707,droga,1
Anavec,-22.54284737273322,-47.39824395592847,furta,1
Alvorada,-22.574751794129178,-47.38163853252781,furta,1
Nova Suíça,-22.56851148953978,-47.38375632869951,furta,1
Nossa Senhora das Dores,-22.566538951323608,-47.44911629459672,droga,1
Gustavo Picinini,-22.601353470371585,-47.40157321948024,furto,1
Parque Hipólito,-22.566917697139285,-47.370280603692635,furto,1
Independência,-22.58490613070608,-47.3883419673698,assalto,1
Nova,-22.558083990929543,-47.36966581985347,assalto,1
Odécio Degan,-22.61382083800258,-47.415363156464224,furta,1
Boa Vista,-22.560802461767775,-47.38987704630737,ameaçou,1
Ernesto Kuhl,-22.610895331011857,-47.40879094883312,droga,1
Vista Alegre,-22.579319179070165,-47.37542856690197,agredido,1
João Ometto,-22.574505800000008,-47.36762253644538,droga,1
Olga Veroni,-22.57867905223018,-47.369109352914364,roubo,1
Centro,-22.56551184330801,-47.4033402863699,agressão,1
Nova,-22.558083990929543,-47.36966581985347,agressão,1
Águas da Serra,-22.572876573735762,-47.454482545452045,roubo,1
Morada das Acácias,-22.612536064351442,-47.42637114493074,roubo,1
Santo André,-22.547178281599184,-47.41249415483307,furta,1
Águas da Serra,-22.572876573735762,-47.454482545452045,assaltada,1
Planalto,-22.545761961096904,-47.39125627066196,droga,1
Vila Cláudia,-22.578698767560233,-47.40145291903339,assalto,1
Centro,-22.56551184330801,-47.4033402863699,furta,1
Lagoa Nova,-22.61883424659867, -47.41146700158313,assalto,1
Nova,-22.558083990929543,-47.36966581985347,assalto,1
Campo Belo,-22.596716976977657,-47.38631371705139,roubo,1
Hortência,-22.544558701456964,-47.38939479579071,roubo,1
Planalto,-22.545761961096904,-47.39125627066196,droga,1
São José,-22.545369208149168,-47.404418170758404,droga,1
Colina Verde,-22.582947261189126,-47.43436670915959,roubo,1
Vila Cláudia,-22.578698767560233,-47.40145291903339,furto,1
Centro,-22.56551184330801,-47.4033402863699,furta,1
Centro,-22.56551184330801,-47.4033402863699,roubo,1
Centro,-22.56551184330801,-47.4033402863699,assalto,1
Senador Vergueiro,-22.59133126342803,-47.42739482889499,assalto,1
Aeroporto,-22.606881537347004,-47.414190449993015,ameaçou,1
Centro,-22.56551184330801,-47.4033402863699,furta,1
Santa Catarina,-22.54810088433397,-47.39439292247336,ameaça,1
São José,-22.545369208149168,-47.404418170758404,homicídio,1
Vila Cláudia,-22.578698767560233,-47.40145291903339,furta,1
Nova Suíça,-22.56851148953978,-47.38375632869951,furta,1
Centro,-22.56551184330801,-47.4033402863699,furto,1
Morada das Acácias,-22.612536064351442,-47.42637114493074,roubo,1
Piratininga,-22.55739443668186,-47.41518575681504,roubo,1
Gustavo Picinini,-22.601353470371585,-47.40157321948024,agressão,1
Gustavo Picinini,-22.601353470371585,-47.40157321948024,droga,1
Campo Belo,-22.596716976977657,-47.38631371705139,assalto,1
Village,-22.572847088329173,-47.45089759656463,droga,1
Nova Limeira,-22.54499205603619,-47.37309708635612,agrediu,1
Nova,-22.558083990929543,-47.36966581985347,agrediu,1
São José,-22.545369208149168,-47.404418170758404,agrediu,1
Centro,-22.56551184330801,-47.4033402863699,furto,1
Centro,-22.56551184330801,-47.4033402863699,furta,1
Santo André,-22.547178281599184,-47.41249415483307,furto,1
Cidade Jardim,-22.571584222883843,-47.39842966107791,furta,1
Jardim do Lago,-22.607037034103175,-47.420306625697535,furto,1
Anavec,-22.54284737273322,-47.39824395592847,furto,1
São Pedro,-22.57771456293593,-47.38620042386645,furto,1
Rossi,-22.564596325895053,-47.38578741519692,droga,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,roubo,1
Santo André,-22.547178281599184,-47.41249415483307,roubo,1
Jardim Vanessa,-22.54099816993894,-47.42399814815367,roubo,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,furto,1
Centro,-22.56551184330801,-47.4033402863699,matar,1
Paulista,-22.558475599854763,-47.42596266314149,matar,1
Centro,-22.56551184330801,-47.4033402863699,furto,1
São José,-22.545369208149168,-47.404418170758404,droga,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,furta,1
Cidade Universitária,-22.552964750657722,-47.43436418286103,furta,1
Novo Mundo,-22.59313924496285,-47.39744446846316,furto,1
Nova Suíça,-22.56851148953978,-47.38375632869951,furta,1
Centro,-22.56551184330801,-47.4033402863699,furto,1
Paraíso,-22.560339309370303,-47.40825721004558,furto,1
Centro,-22.56551184330801,-47.4033402863699,estupro,1
Ernesto Kuhl,-22.610895331011857,-47.40879094883312,estupro,1
João Ometto,-22.574505800000008,-47.36762253644538,droga,1
Centro,-22.56551184330801,-47.4033402863699,droga,1
Odécio Degan,-22.61382083800258,-47.415363156464224,droga,1
Odécio Degan,-22.61382083800258,-47.415363156464224,furta,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,roubada,1
Ibirapuera,-22.60098347185208,-47.410237507670374,droga,1
São José,-22.545369208149168,-47.404418170758404,estupra,1
Nossa Senhora das Dores,-22.566538951323608,-47.44911629459672,droga,1
Morada das Acácias,-22.612536064351442,-47.42637114493074,furto,1
Queiroz,-22.5514014562064,-47.392647400285114,furto,1
Centro,-22.56551184330801,-47.4033402863699,droga,1
Novo Horizonte,-22.589399912551873,-47.37864896544661,furto,1
Jardim Anhanguera,-22.584498061164048,-47.37175422301112,ameaça,1
Nova Suíça,-22.56851148953978,-47.38375632869951,furta,1
Jardim Glória,-22.586009577004468,-47.37944583494435,furto,1
Nossa Senhora das Dores,-22.566538951323608,-47.44911629459672,droga,1
Paulista,-22.558475599854763,-47.42596266314149,furta,1
Boa Vista,-22.560802461767775,-47.38987704630737,homicídio,1
Centro,-22.56551184330801,-47.4033402863699,droga,1
Odécio Degan,-22.61382083800258,-47.415363156464224,droga,1
Centro,-22.56551184330801,-47.4033402863699,furta,1
Jardim do Lago,-22.607037034103175,-47.420306625697535,furto,1
Regina Bastelli,-22.60695211181403,-47.405206904945395,droga,1
Nova Itália,-22.55905305629821,-47.422310253407524,agressão,1
Nova,-22.558083990929543,-47.36966581985347,agressão,1
Centro,-22.56551184330801,-47.4033402863699,furto,1
Paulista,-22.558475599854763,-47.42596266314149,furta,1
Nossa Senhora das Dores,-22.566538951323608,-47.44911629459672,droga,1
Parque Hipólito,-22.566917697139285,-47.370280603692635,furto,1
Castelar,-22.551811270003096,-47.41086194232963,furta,1
Ernesto Kuhl,-22.610895331011857,-47.40879094883312,furta,1
Centro,-22.56551184330801,-47.4033402863699,furta,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,droga,1
Ernesto Kuhl,-22.610895331011857,-47.40879094883312,droga,1
Vila São João,-22.563574564564426,-47.41129908583372,agressão,1
Centro,-22.56551184330801,-47.4033402863699,furta,1
Morro Azul,-22.558138063776088,-47.43124059516694,roubo,1
Cidade Universitária,-22.552964750657722,-47.43436418286103,homicídio,1
Piza,-22.56301045186502,-47.38301175196235,roubo,1
Parque das Nações,-22.590979526229116,-47.40910066193323,furta,1
Centro,-22.56551184330801,-47.4033402863699,furta,1
Jardim do Lago,-22.607037034103175,-47.420306625697535,furta,1
Cidade Universitária,-22.552964750657722,-47.43436418286103,ameaça,1
Centro,-22.56551184330801,-47.4033402863699,furto,1
Parque das Nações,-22.590979526229116,-47.40910066193323,agressões,1
Anavec,-22.54284737273322,-47.39824395592847,droga,1
São José,-22.545369208149168,-47.404418170758404,droga,1
Centro,-22.56551184330801,-47.4033402863699,furto,1
Jardim Caieira,-22.56277802557239,-47.44148794289984,furto,1
São Roque,-22.582199631718236,-47.392106736700796,assalto,1
Jardim Glória,-22.586009577004468,-47.37944583494435,furta,1
Independência,-22.58490613070608,-47.3883419673698,roubam,1
Vila São João,-22.563574564564426,-47.41129908583372,furto,1
Jardim São Luiz,-22.580306368366216,-47.38341673993074,droga,1
Centro,-22.56551184330801,-47.4033402863699,furto,1
Boa Vista,-22.560802461767775,-47.38987704630737,estupro,1
Roland,-22.577795794021792,-47.424728532114486,estupro,1
Centro,-22.56551184330801,-47.4033402863699,furtou,1
Gustavo Picinini,-22.601353470371585,-47.40157321948024,homicídio,1
Independência,-22.58490613070608,-47.3883419673698,roubo,1
Piratininga,-22.55739443668186,-47.41518575681504,furta,1
Águas da Serra,-22.572876573735762,-47.454482545452045,roubo,1
Águas da Serra,-22.572876573735762,-47.454482545452045,roubo,1
Águas da Serra,-22.572876573735762,-47.454482545452045,roubo,1
Santo André,-22.547178281599184,-47.41249415483307,droga,1
Aeroporto,-22.606881537347004,-47.414190449993015,roubo,1
Santo André,-22.547178281599184,-47.41249415483307,furta,1
Centro,-22.56551184330801,-47.4033402863699,droga,1
Vista Alegre,-22.579319179070165,-47.37542856690197,droga,1
Boa Vista,-22.560802461767775,-47.38987704630737,homicídio,1
Boa Vista,-22.560802461767775,-47.38987704630737,furto,1
Jardim Glória,-22.586009577004468,-47.37944583494435,furta,1
Centro,-22.56551184330801,-47.4033402863699,roubo,1
Jardim Glória,-22.586009577004468,-47.37944583494435,roubo,1
Boa Vista,-22.560802461767775,-47.38987704630737,ameaça,1
Queiroz,-22.5514014562064,-47.392647400285114,roubo,1
Nova Suíça,-22.56851148953978,-47.38375632869951,furta,1
Odécio Degan,-22.61382083800258,-47.415363156464224,furta,1
Boa Vista,-22.560802461767775,-47.38987704630737,matar,1
Cidade Universitária,-22.552964750657722,-47.43436418286103,homicídio,1
Recanto Verde,-22.60207510967848,-47.42736099099359,ameaça,1
Aeroporto,-22.606881537347004,-47.414190449993015,furta,1
Ouro Verde,-22.58512277152568,-47.420426462503436,ameaça,1
Agostinho,-22.571300778338163,-47.426075680681514,roubo,1
Parque Hipólito,-22.566917697139285,-47.370280603692635,droga,1
Aeroporto,-22.606881537347004,-47.414190449993015,furto,1
Nossa Senhora das Dores,-22.566538951323608,-47.44911629459672,droga,1
Centro,-22.56551184330801,-47.4033402863699,roubo,1
Colina Verde,-22.582947261189126,-47.43436670915959,droga,1
Mercedes,-22.568455075072226,-47.403871288207796,roubo,1
Cidade Universitária,-22.552964750657722,-47.43436418286103,roubo,1
São Francisco,-22.55649796792715,-47.448509764827264,furto,1
Cavinato,-22.572976560372396,-47.38950592415155,furta,1
Cavinato,-22.572976560372396,-47.38950592415155,droga,1
Santana,-22.55341815056928,-47.410510161248546,furta,1
Ibirapuera,-22.60098347185208,-47.410237507670374,furta,1
Centro,-22.56551184330801,-47.4033402863699,homicídio,1
Ouro Verde,-22.58512277152568,-47.420426462503436,roubo,1
Nossa Senhora das Dores,-22.566538951323608,-47.44911629459672,droga,1
Ernesto Kuhl,-22.610895331011857,-47.40879094883312,roubada,1
Independência,-22.58490613070608,-47.3883419673698,roubo,1
Odécio Degan,-22.61382083800258,-47.415363156464224,droga,1
Belinha Ometto,-22.55261810042536,-47.450211829541075,roubada,1
Odécio Degan,-22.61382083800258,-47.415363156464224,roubo,1
Odécio Degan,-22.61382083800258,-47.415363156464224,droga,1
Centro,-22.56551184330801,-47.4033402863699,agressão,1
Nossa Senhora das Dores,-22.566538951323608,-47.44911629459672,furta,1
Ouro Branco,-22.591809796492225,-47.4213775259115,droga,1
Centro,-22.56551184330801,-47.4033402863699,furta,1
Senador Vergueiro,-22.59133126342803,-47.42739482889499,roubo,1
Morro Azul,-22.558138063776088,-47.43124059516694,furta,1
Boa Vista,-22.560802461767775,-47.38987704630737,droga,1
Morro Azul,-22.558138063776088,-47.43124059516694,roubo,1
Teixeira Marques,-22.54779828543315,-47.398899932120514,ameaça,1
Aeroporto,-22.606881537347004,-47.414190449993015,homicídio,1
Vila Camargo,-22.56828576893413,-47.39312419232962,roubo,1
Centro,-22.56551184330801,-47.4033402863699,furta,1
Interlagos,-22.620320348141618,-47.42803401914893,assalto,1
Santa Josefa,-22.56704304217691,-47.415304159221925,homicídio,1
Ipês,-22.540554227672143,-47.41408736684834,matar,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,roubo,1
Jardim Caieira,-22.56277802557239,-47.44148794289984,roubo,1
João Ometto,-22.574505800000008,-47.36762253644538,roubo,1
Aeroporto,-22.606881537347004,-47.414190449993015,furta,1
Montezuma,-22.577060985004373,-47.39406116903339,furta,1
Odécio Degan,-22.61382083800258,-47.415363156464224,droga,1
Bartolomeu Grotta,-22.595499949304006,-47.41332795617701,roubo,1
Nova Suíça,-22.56851148953978,-47.38375632869951,homicídio,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,ameaça,1
Recanto dos Pássaros,-22.615350788247124,-47.41574726813707,ameaça,1
Ernesto Kuhl,-22.610895331011857,-47.40879094883312,roubo,1
Novo Horizonte,-22.589399912551873,-47.37864896544661,furta,1
Ipanema,-22.597827844359717,-47.424820580131964,roubo,1
Centro,-22.56551184330801,-47.4033402863699,droga,1
Boa Vista,-22.560802461767775,-47.38987704630737,roubo,1
Santa Cecília,-22.566554171695916, -47.41504969118918,furta,1
Grêmio,-22.55423755747252,-47.388127627766615,furta,1
Boa Vista,-22.560802461767775,-47.38987704630737,furta,1
Palmeira Real,-22.62921752407231,-47.435344606852304,droga,1
São Pedro,-22.57771456293593,-47.38620042386645,ameaça,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,roubo,1
Palmeira Real,-22.62921752407231,-47.435344606852304,roubo,1
Cidade Universitária,-22.552964750657722,-47.43436418286103,roubo,1
Adélia Cavicchia,-22.588414300737305,-47.41575640439432,roubo,1
Nossa Senhora das Dores,-22.566538951323608,-47.44911629459672,droga,1
Vila Cristovam,-22.578280728770505,-47.40585580767037,droga,1
Vila Fascina,-22.556571020456573,-47.40392364748294,ameaça,1
São Francisco,-22.55649796792715,-47.448509764827264,droga,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,droga,1
Boa Vista,-22.560802461767775,-47.38987704630737,furto,1
Novo Horizonte,-22.589399912551873,-47.37864896544661,furto,1
Nossa Senhora das Dores,-22.566538951323608,-47.44911629459672,droga,1
Novo Horizonte,-22.589399912551873,-47.37864896544661,furto,1
Vila Conceição,-22.581256340642014,-47.390461892614724,roubo,1
Manacá,-22.603682094409827,-47.427727448569094,agredido,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,homicídio,1
Nova Itália,-22.55905305629821,-47.422310253407524,agrediu,1
Morro Azul,-22.558138063776088,-47.43124059516694,roubo,1
Campo Belo,-22.596716976977657,-47.38631371705139,roubo,1
Campo Belo,-22.596716976977657,-47.38631371705139,roubo,1
Nossa Senhora das Dores,-22.566538951323608,-47.44911629459672,droga,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,homicídio,1
Centro,-22.56551184330801,-47.4033402863699,agressão,1
Parque Hipólito,-22.566917697139285,-47.370280603692635,droga,1
Aeroporto,-22.606881537347004,-47.414190449993015,roubo,1
Nossa Senhora de Fátima,-22.565829937713396,-47.426601278042675,estupra,1
Belinha Ometto,-22.55261810042536,-47.450211829541075,matou,1
Gustavo Picinini,-22.601353470371585,-47.40157321948024,estupro,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,droga,1
Rubi,-22.613584430352578,-47.4304040903413,homicídio,1
Novo Mundo,-22.59313924496285,-47.39744446846316,homicídio,1
Montezuma,-22.577060985004373,-47.39406116903339,estupro,1
Pérola,-22.56344433950144,-47.43839673079796,furta,1
Presidente Dutra,-22.57584113713146,-47.37897274701324,estupro,1
Graminha,-22.593384995149037,-47.42848061023546,droga,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,roubo,1
Gustavo Picinini,-22.601353470371585,-47.40157321948024,droga,1
Aeroporto,-22.606881537347004,-47.414190449993015,estupro,1
Canaã,-22.55111957512631,-47.38665090738527,furta,1
Abílio Pedro,-22.556228763726693,-47.451160396731794,roubo,1
